year,series_name,series_href
2025,2015,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2015
2025,2016,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2016
2025,2017,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2017
2025,2018,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2018
2025,2019,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2019
2025,2020,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2020
2025,2001,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2001
2025,2002,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2002
2025,2003,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2003
2025,2004,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2004
2025,2005,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2005
2025,2006,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2006
2025,2007,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2007
2025,2008,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2008
2025,2009,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2009
2025,2010,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2010
2025,1991,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1991
2025,1992,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1992
2025,1993,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1993
2025,1994,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1994
2025,1995,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1995
2025,1996,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1996
2025,1997,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1997
2025,1998,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1998
2025,1999,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1999
2025,2000,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/2000
2025,1981,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1981
2025,1982,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1982
2025,1983,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1983
2025,1984,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1984
2025,1985,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1985
2025,1986,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1986
2025,1987,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1987
2025,1988,https://www.cricbuzz.comhttps://www.cricbuzz.com/cricket-scorecard-archives/1988
