year,series_type,series_name,match_no,match_type,match_name,match_href,match_team1,match_team2,match_datetime_start,match_date_end,match_venue
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs ROYAL CHALLENGERS BENGALURU, 1st Match",https://www.cricbuzz.com/cricket-scores/35612/mi-vs-rcb-1st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs DELHI CAPITALS, 2nd Match",https://www.cricbuzz.com/cricket-scores/35617/csk-vs-dc-2nd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs KOLKATA KNIGHT RIDERS, 3rd Match",https://www.cricbuzz.com/cricket-scores/35618/srh-vs-kkr-3rd-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs PUNJAB KINGS, 4th Match",https://www.cricbuzz.com/cricket-scores/35622/rr-vs-pbks-4th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs MUMBAI INDIANS, 5th Match",https://www.cricbuzz.com/cricket-scores/35627/kkr-vs-mi-5th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs ROYAL CHALLENGERS BENGALURU, 6th Match",https://www.cricbuzz.com/cricket-scores/35628/srh-vs-rcb-6th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs DELHI CAPITALS, 7th Match",https://www.cricbuzz.com/cricket-scores/35632/rr-vs-dc-7th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs CHENNAI SUPER KINGS, 8th Match",https://www.cricbuzz.com/cricket-scores/35637/pbks-vs-csk-8th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"MUMBAI INDIANS vs SUNRISERS HYDERABAD, 9th Match",https://www.cricbuzz.com/cricket-scores/35642/mi-vs-srh-9th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs KOLKATA KNIGHT RIDERS, 10th Match",https://www.cricbuzz.com/cricket-scores/35643/rcb-vs-kkr-10th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs PUNJAB KINGS, 11th Match",https://www.cricbuzz.com/cricket-scores/35647/dc-vs-pbks-11th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs RAJASTHAN ROYALS, 12th Match",https://www.cricbuzz.com/cricket-scores/35648/csk-vs-rr-12th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs MUMBAI INDIANS, 13th Match",https://www.cricbuzz.com/cricket-scores/35653/dc-vs-mi-13th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs SUNRISERS HYDERABAD, 14th Match",https://www.cricbuzz.com/cricket-scores/35657/pbks-vs-srh-14th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"KOLKATA KNIGHT RIDERS vs CHENNAI SUPER KINGS, 15th Match",https://www.cricbuzz.com/cricket-scores/35662/kkr-vs-csk-15th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"ROYAL CHALLENGERS BENGALURU vs RAJASTHAN ROYALS, 16th Match",https://www.cricbuzz.com/cricket-scores/35663/rcb-vs-rr-16th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs MUMBAI INDIANS, 17th Match",https://www.cricbuzz.com/cricket-scores/35668/pbks-vs-mi-17th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"RAJASTHAN ROYALS vs KOLKATA KNIGHT RIDERS, 18th Match",https://www.cricbuzz.com/cricket-scores/35673/rr-vs-kkr-18th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"CHENNAI SUPER KINGS vs ROYAL CHALLENGERS BENGALURU, 19th Match",https://www.cricbuzz.com/cricket-scores/35678/csk-vs-rcb-19th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"SUNRISERS HYDERABAD vs DELHI CAPITALS, 20th Match",https://www.cricbuzz.com/cricket-scores/35683/srh-vs-dc-20th-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"PUNJAB KINGS vs KOLKATA KNIGHT RIDERS, 21st Match",https://www.cricbuzz.com/cricket-scores/35688/pbks-vs-kkr-21st-match-indian-premier-league-2021,,,,,
2021,T20,Indian Premier League 2021,,League,"DELHI CAPITALS vs ROYAL CHALLENGERS BENGALURU, 22nd Match",https://www.cricbuzz.com/cricket-scores/35693/dc-vs-rcb-22nd-match-indian-premier-league-2021,,,,,
